year,category,motivation,fullName,gender,bornCountry,bornCity,organizationName,organizationCountry,organizationCity,born,age
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,Andrea Ghez,female,USA,New York NY,University of California,USA,Los Angeles CA,1965/6/16,55
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,Reinhard Genzel,male,Germany,Bad Homburg vor der Hohe,Max Planck Institute for Extraterrestrial Physics,Germany,Garching,1952/3/24,68
2020,physics,for the discovery that black hole formation is a robust prediction of the general theory of relativity,Roger Penrose,male,United Kingdom,Colchester,University of Oxford,United Kingdom,Oxford,1931/8/8,89
2020,medicine,for the discovery of Hepatitis C virus,Charles Rice,male,USA,Sacramento CA,Rockefeller University,USA,New York NY,1952/8/25,68
2020,medicine,for the discovery of Hepatitis C virus,Harvey Alter,male,USA,New York NY,National Institutes of Health,USA,Bethesda MD,1935/12/9,85
2019,economics,for their experimental approach to alleviating global poverty,Michael Kremer,male,USA,New York NY,Harvard University,USA,Cambridge MA,1964/12/11,55
2019,economics,for their experimental approach to alleviating global poverty,Esther Duflo,female,France,Paris,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,1972/10/25,47
2019,economics,for their experimental approach to alleviating global poverty,Abhijit Banerjee,male,India,Mumbai,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,1961/2/21,58
2019,chemistry,for the development of lithium-ion batteries,Akira Yoshino,male,Japan,Suita,Asahi Kasei Corporation,Japan,Tokyo,1948/1/30,71
2019,chemistry,for the development of lithium-ion batteries,John Goodenough,male,Germany,Jena,University of Texas,USA,Austin TX,1922/7/25,97
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,Didier Queloz,male,Switzerland,Geneva,University of Geneva,Switzerland,Geneva,1966/2/23,53
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,Michel Mayor,male,Switzerland,Lausanne,University of Geneva,Switzerland,Geneva,1942/12/1,77
2019,physics,for theoretical discoveries in physical cosmology,James Peebles,male,Canada,Winnipeg,Princeton University,USA,Princeton NJ,1935/4/25,84
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,Gregg Semenza,male,USA,New York NY,Johns Hopkins University,USA,Baltimore MD,1956/12/7,63
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,Peter Ratcliffe,male,United Kingdom,Lancashire,University of Oxford,United Kingdom,Oxford,1954/5/14,65
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,William Kaelin,male,USA,New York NY,Harvard Medical School,USA,Boston MA,1957/11/23,62
2018,physics,for their method of generating high-intensity ultra-short optical pulses,Gerard Mourou,male,France,Albertville,Ecole Polytechnique,France,Palaiseau,1944/6/22,74
2018,economics,for integrating technological innovations into long-run macroeconomic analysis,Paul M. Romer,male,USA,Denver CO,NYU Stern School of Business,USA,New York NY,1955/1/1,63
2018,economics,for integrating climate change into long-run macroeconomic analysis,William D. Nordhaus,male,USA,Albuquerque NM,Yale University,USA,New Haven CT,1941/5/31,77
2018,chemistry,for the phage display of peptides and antibodies,Sir Gregory P. Winter,male,United Kingdom,Leicester,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge,1951/4/14,67
2018,chemistry,for the phage display of peptides and antibodies,George P. Smith,male,USA,Norwalk CT,University of Missouri,USA,Columbia,1941/10/3,77
2018,chemistry,for the directed evolution of enzymes,Frances H. Arnold,female,USA,Pittsburgh PA,California Institute of Technology (Caltech),USA,Pasadena CA,1956/7/25,62
2018,physics,for their method of generating high-intensity ultra-short optical pulses,Donna Strickland,female,Canada,Guelph,University of Waterloo,Canada,Waterloo,1959/5/27,59
2018,physics,for the optical tweezers and their application to biological systems,Arthur Ashkin,male,USA,New York NY,Bell Laboratories,USA,Holmdel NJ,1922/2/9,96
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,Tasuku Honjo,male,Japan,Kyoto,Kyoto University,Japan,Kyoto,1942/1/27,76
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,James P. Allison,male,USA,Alice TX,Parker Institute for Cancer Immunotherapy,USA,San Francisco CA,1948/7/8,70
2017,economics,for his contributions to behavioural economics,Richard H. Thaler,male,USA,East Orange NJ,University of Chicago,USA,Chicago IL,1945/12/9,72
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Richard Henderson,male,Scotland,Edinburgh,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge,1945/7/19,72
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Joachim Frank,male,Germany,Siegen,Columbia University,USA,New York NY,1940/12/9,77
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Jacques Dubochet,male,Switzerland,Aigle,University of Lausanne,Switzerland,Lausanne,1942/8/6,75
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael W. Young,male,USA,Miami FL,Rockefeller University,USA,New York NY,1949/3/28,68
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael Rosbash,male,USA,Kansas City MO,Brandeis University,USA,Waltham MA,1944/7/3,73
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Jeffrey C. Hall,male,USA,New York NY,University of Maine,USA,Maine ME,1945/3/5,72
2016,economics,for their contributions to contract theory,Bengt Holmstrom,male,Finland,Helsinki,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,1949/4/18,67
2016,economics,for their contributions to contract theory,Oliver Hart,male,United Kingdom,London,Harvard University,USA,Cambridge MA,1948/9/10,68
2016,chemistry,for the design and synthesis of molecular machines,Bernard L. Feringa,male,the Netherlands,Barger-Compascuum,University of Groningen,the Netherlands,Groningen,1951/5/18,65
2016,chemistry,for the design and synthesis of molecular machines,Sir J. Fraser Stoddart,male,United Kingdom,Edinburgh,Northwestern University,USA,Evanston IL,1942/5/24,74
2016,chemistry,for the design and synthesis of molecular machines,Jean-Pierre Sauvage,male,France,Paris,University of Strasbourg,France,Strasbourg,1944/10/21,72
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,J. Michael Kosterlitz,male,United Kingdom,Aberdeen,Brown University,USA,Providence RI,1943/6/22,73
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,F. Duncan M. Haldane,male,United Kingdom,London,Princeton University,USA,Princeton NJ,1951/9/14,65
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,David J. Thouless,male,United Kingdom,Bearsden,University of Washington,USA,Seattle WA,1934/9/21,82
2016,medicine,for his discoveries of mechanisms for autophagy,Yoshinori Ohsumi,male,Japan,Fukuoka,Tokyo Institute of Technology,Japan,Tokyo,1945/9/2,71
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Satoshi Omura,male,Japan,Yamanashi Prefecture,Kitasato University,Japan,Tokyo,1935/12/7,80
2015,economics,for his analysis of consumption poverty and welfare,Angus Deaton,male,Scotland,Edinburgh,Princeton University,USA,Princeton NJ,1945/10/19,70
2015,chemistry,for mechanistic studies of DNA repair,Aziz Sancar,male,Turkey,Savur,University of North Carolina,USA,Chapel Hill NC,1946/8/9,69
2015,chemistry,for mechanistic studies of DNA repair,Paul Modrich,male,USA,Raton NM,Howard Hughes Medical Institute,USA,Durham NC,1946/6/13,69
2015,chemistry,for mechanistic studies of DNA repair,Tomas Lindahl,male,Sweden,Stockholm,Francis Crick Institute,United Kingdom,Hertfordshire,1938/1/28,77
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,Arthur B. McDonald,male,Canada,Sydney,Queen's University,Canada,Kingston,1943/8/29,72
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,Takaaki Kajita,male,Japan,Higashimatsuyama,University of Tokyo,Japan,Kashiwa,1959/9/3,56
2015,medicine,for her discoveries concerning a novel therapy against Malaria,Youyou Tu,female,China,Zhejiang Ningbo,China Academy of Traditional Chinese Medicine,China,Beijing,1930/12/30,85
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,William C. Campbell,male,Ireland,Ramelton,Drew University,USA,Madison NJ,1930/6/28,85
2014,chemistry,for the development of super-resolved fluorescence microscopy,Stefan W. Hell,male,Romania,Arad,Max Planck Institute for Biophysical Chemistry,Germany,Gottingen,1962/12/23,52
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,May-Britt Moser,female,Norway,Fosnavag,Norwegian University of Science and Technology (NTNU),Norway,Trondheim,1963/4/1,51
2014,economics,for his analysis of market power and regulation,Jean Tirole,male,France,Troyes,Toulouse School of Economics (TSE),France,Toulouse,1953/9/8,61
2014,chemistry,for the development of super-resolved fluorescence microscopy,William E. Moerner,male,USA,Pleasanton CA,Stanford University,USA,Stanford CA,1953/6/24,61
2014,chemistry,for the development of super-resolved fluorescence microscopy,Eric Betzig,male,USA,Ann Arbor MI,Janelia Research Campus Howard Hughes Medical Institute,USA,Ashburn VA,1960/1/13,54
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Shuji Nakamura,male,Japan,Ikata,University of California,USA,Santa Barbara CA,1954/5/22,60
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Hiroshi Amano,male,Japan,Hamamatsu,Nagoya University,Japan,Nagoya,1960/11/9,54
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Isamu Akasaki,male,Japan,Chiran,Meijo University,Japan,Nagoya,1929/1/30,85
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,Edvard I. Moser,male,Norway,Alesund,Norwegian University of Science and Technology (NTNU),Norway,Trondheim,1962/4/27,52
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,John O'Keefe,male,USA,New York NY,University College,United Kingdom,London,1939/11/18,75
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,Thomas C. Sudhof,male,Germany,Gottingen,Stanford University,USA,Stanford CA,1955/12/22,58
2013,chemistry,for the development of multiscale models for complex chemical systems,Martin Karplus,male,Austria,Vienna,Universite de Strasbourg,France,Strasbourg,1930/3/15,83
2013,physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,Franois Englert,male,Belgium,Etterbeek,Universite Libre de Bruxelles,Belgium,Brussels,1932/6/11,81
2013,economics,for their empirical analysis of asset prices,Robert J. Shiller,male,USA,Detroit MI,Yale University,USA,New Haven CT,1946/3/29,67
2013,economics,for their empirical analysis of asset prices,Lars Peter Hansen,male,USA,Urbana IL,University of Chicago,USA,Chicago IL,1952/10/26,61
2013,economics,for their empirical analysis of asset prices,Eugene F. Fama,male,USA,Boston MA,University of Chicago,USA,Chicago IL,1939/2/14,74
2013,chemistry,for the development of multiscale models for complex chemical systems,Arieh Warshel,male,Israel,Kibbutz Sde Nahum,University of Southern California,USA,Los Angeles CA,1940/11/20,73
2013,chemistry,for the development of multiscale models for complex chemical systems,Michael Levitt,male,South Africa,Pretoria,Stanford University School of Medicine,USA,Stanford CA,1947/9/5,66
2013,physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,Peter Higgs,male,United Kingdom,Newcastle upon Tyne,University of Edinburgh,United Kingdom,Edinburgh,1929/5/29,84
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,Randy W. Schekman,male,USA,St. Paul MN,University of California,USA,Berkeley CA,1948/12/30,65
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,James E. Rothman,male,USA,Haverhill MA,Yale University,USA,New Haven CT,1950/3/11,63
2012,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,Serge Haroche,male,Morocco,Casablanca,College de France,France,Paris,1944/11/9,68
2012,economics,for the theory of stable allocations and the practice of market design,Lloyd S. Shapley,male,USA,Cambridge MA,University of California,USA,Los Angeles CA,1923/2/6,89
2012,economics,for the theory of stable allocations and the practice of market design,Alvin E. Roth,male,USA,New York NY,Harvard University,USA,Cambridge MA,1951/12/18,61
2012,chemistry,for studies of G-protein-coupled receptors,Brian Kobilka,male,USA,Little Falls MN,Stanford University School of Medicine,USA,Stanford CA,1955/5/30,57
2012,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,David J. Wineland,male,USA,Milwaukee WI,National Institute of Standards and Technology,USA,Boulder CO,1944/2/24,68
2012,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Shinya Yamanaka,male,Japan,Osaka,Kyoto University,Japan,Kyoto,1962/4/9,50
2012,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Sir John B. Gurdon,male,United Kingdom,Dippenhall,Gurdon Institute,United Kingdom,Cambridge,1933/2/10,79
2011,economics,for their empirical research on cause and effect in the macroeconomy,Christopher A. Sims,male,USA,Washington D.C.,Princeton University,USA,Princeton NJ,1942/10/21,69
2011,economics,for their empirical research on cause and effect in the macroeconomy,Thomas J. Sargent,male,USA,Pasadena CA,New York University,USA,New York NY,1943/7/19,68
2011,chemistry,for the discovery of quasicrystals,Dan Shechtman,male,Israel,Tel Aviv,Technion - Israel Institute of Technology,Israel,Haifa,1941/1/24,70
2011,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Adam G. Riess,male,USA,Washington D.C.,Johns Hopkins University,USA,Baltimore MD,1969/12/16,42
2011,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Brian P. Schmidt,male,USA,Missoula MT,Australian National University,Australia,Weston Creek,1967/2/24,44
2011,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Saul Perlmutter,male,USA,Champaign Urbana IL,Lawrence Berkeley National Laboratory,USA,Berkeley CA,1959/1/1,52
2011,medicine,for his discovery of the dendritic cell and its role in adaptive immunity,Ralph M. Steinman,male,Canada,Montreal,Rockefeller University,USA,New York NY,1943/1/14,68
2011,medicine,for their discoveries concerning the activation of innate immunity,Jules A. Hoffmann,male,Luxembourg,Echternach,University of Strasbourg,France,Strasbourg,1941/2/8,70
2011,medicine,for their discoveries concerning the activation of innate immunity,Bruce A. Beutler,male,USA,Chicago IL,University of Texas Southwestern Medical Center at Dallas,USA,Dallas TX,1957/12/29,54
2010,economics,for their analysis of markets with search frictions,Christopher A. Pissarides,male,Cyprus,Nicosia,London School of Economics and Political Science,United Kingdom,London,1948/2/20,62
2010,economics,for their analysis of markets with search frictions,Dale T. Mortensen,male,USA,Enterprise OR,Northwestern University,USA,Evanston IL,1939/2/2,71
2010,economics,for their analysis of markets with search frictions,Peter A. Diamond,male,USA,New York NY,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,1940/4/29,70
2010,chemistry,for palladium-catalyzed cross couplings in organic synthesis,Akira Suzuki,male,Japan,Mukawa,Hokkaido University,Japan,Sapporo,1930/12/9,80
2010,chemistry,for palladium-catalyzed cross couplings in organic synthesis,Ei-ichi Negishi,male,China,Changchun,Purdue University,USA,West Lafayette IN,1935/7/14,75
2010,physics,for groundbreaking experiments regarding the two-dimensional material graphene,Konstantin Novoselov,male,Russia,Nizhny Tagil,University of Manchester,United Kingdom,Manchester,1974/8/23,36
2010,physics,for groundbreaking experiments regarding the two-dimensional material graphene,Andre Geim,male,Russia,Sochi,University of Manchester,United Kingdom,Manchester,1958/10/21,52
2010,medicine,for the development of in vitro fertilization,Robert G. Edwards,male,United Kingdom,Batley,University of Cambridge,United Kingdom,Cambridge,1925/9/27,85
2009,economics,for his analysis of economic governance especially the boundaries of the firm,Oliver E. Williamson,male,USA,Superior WI,University of California,USA,Berkeley CA,1932/9/27,77
2009,economics,for her analysis of economic governance especially the commons,Elinor Ostrom,female,USA,Los Angeles CA,Indiana University,USA,Bloomington IN,1933/7/8,76
2009,chemistry,for studies of the structure and function of the ribosome,Ada E. Yonath,female,Israel,Jerusalem,Weizmann Institute of Science,Israel,Rehovot,1939/6/22,70
2009,chemistry,for studies of the structure and function of the ribosome,Thomas A. Steitz,male,USA,Milwaukee WI,Yale University,USA,New Haven CT,1940/8/23,69
2009,chemistry,for studies of the structure and function of the ribosome,Venkatraman Ramakrishnan,male,India,Chidambaram Tamil Nadu,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge,1952/1/1,57
2009,physics,for the invention of an imaging semiconductor circuit - the CCD sensor,George E. Smith,male,USA,White Plains NY,Bell Laboratories,USA,Murray Hill NJ,1930/10/5,79
2009,physics,for the invention of an imaging semiconductor circuit - the CCD sensor,Willard S. Boyle,male,Canada,Amherst NS,Bell Laboratories,USA,Murray Hill NJ,1924/8/19,85
2009,physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,Charles K. Kao,male,China,Shanghai,Standard Telecommunication Laboratories,United Kingdom,Harlow,1933/4/11,76
2009,medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Jack W. Szostak,male,United Kingdom,London,Harvard Medical School,USA,Boston MA,1952/9/11,57
2009,medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Carol W. Greider,female,USA,San Diego CA,Johns Hopkins University School of Medicine,USA,Baltimore MD,1961/4/15,48
2009,medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Elizabeth H. Blackburn,female,Australia,Hobart Tasmania,University of California,USA,San Francisco CA,1948/11/26,61
2008,economics,for his analysis of trade patterns and location of economic activity,Paul Krugman,male,USA,New York NY,Princeton University,USA,Princeton NJ,1953/2/28,55
2008,chemistry,for the discovery and development of the green fluorescent protein GFP,Roger Y. Tsien,male,USA,New York NY,University of California,USA,San Diego CA,1952/1/2,56
2008,chemistry,for the discovery and development of the green fluorescent protein GFP,Martin Chalfie,male,USA,Chicago IL,Columbia University,USA,New York NY,1947/1/15,61
2008,chemistry,for the discovery and development of the green fluorescent protein GFP,Osamu Shimomura,male,Japan,Kyoto,Marine Biological Laboratory (MBL),USA,Woods Hole MA,1928/8/27,80
2008,physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Toshihide Maskawa,male,Japan,Nagoya,Kyoto Sangyo University,Japan,Kyoto,1940/7/2,68
2008,physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Makoto Kobayashi,male,Japan,Nagoya,High Energy Accelerator Research Organization (KEK),Japan,Tsukuba,1944/7/4,64
2008,physics,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics,Yoichiro Nambu,male,Japan,Tokyo,Enrico Fermi Institute University of Chicago,USA,Chicago IL,1921/1/18,87
2008,medicine,for their discovery of human immunodeficiency virus,Luc Montagnier,male,France,Chabris,World Foundation for AIDS Research and Prevention,France,Paris,1932/8/18,76
2008,medicine,for their discovery of human immunodeficiency virus,Franoise Barr-Sinoussi,female,France,Paris,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,France,Paris,1947/7/30,61
2008,medicine,for his discovery of human papilloma viruses causing cervical cancer,Harald zur Hausen,male,Germany,Gelsenkirchen,German Cancer Research Center,Germany,Heidelberg,1936/11/3,72
2007,physics,for the discovery of Giant Magnetoresistance,Peter Grnberg,male,Czech Republic,Plzen,Forschungszentrum Julich,Germany,Julich,1939/5/18,68
2007,physics,for the discovery of Giant Magnetoresistance,Albert Fert,male,France,Carcassonne,Paris-Sud University,France,Orsay,1938/7/3,69
2007,economics,for having laid the foundations of mechanism design theory,Roger B. Myerson,male,USA,Boston MA,University of Chicago,USA,Chicago IL,1951/3/29,56
2007,economics,for having laid the foundations of mechanism design theory,Eric S. Maskin,male,USA,New York NY,Institute for Advanced Study,USA,Princeton NJ,1950/12/12,57
2007,economics,for having laid the foundations of mechanism design theory,Leonid Hurwicz,male,Russia,Moscow,University of Minnesota,USA,Minneapolis MN,1917/8/21,90
2007,chemistry,for his studies of chemical processes on solid surfaces,Gerhard Ertl,male,Germany,Bad Cannstatt,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Germany,Berlin,1936/10/10,71
2007,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Oliver Smithies,male,United Kingdom,Halifax,University of North Carolina,USA,Chapel Hill NC,1925/6/23,82
2007,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Sir Martin J. Evans,male,United Kingdom,Stroud,Cardiff University,United Kingdom,Cardiff,1941/1/1,66
2007,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Mario R. Capecchi,male,Italy,Verona,University of Utah,USA,Salt Lake City UT,1937/6/10,70
2006,economics,for his analysis of intertemporal tradeoffs in macroeconomic policy,Edmund S. Phelps,male,USA,Evanston IL,Columbia University,USA,New York NY,1933/7/26,73
2006,chemistry,for his studies of the molecular basis of eukaryotic transcription,Roger D. Kornberg,male,USA,St. Louis MO,Stanford University,USA,Stanford CA,1947/4/24,59
2006,physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,George F. Smoot,male,USA,Yukon FL,University of California,USA,Berkeley CA,1945/2/20,61
2006,physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,John C. Mather,male,USA,Roanoke VA,NASA Goddard Space Flight Center,USA,Greenbelt MD,1946/7/8,60
2006,medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,Craig C. Mello,male,USA,New Haven CT,University of Massachusetts Medical School,USA,Worcester MA,1960/10/18,46
2006,medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,Andrew Z. Fire,male,USA,Stanford CA,Stanford University School of Medicine,USA,Stanford CA,1959/4/27,47
2005,chemistry,for the development of the metathesis method in organic synthesis,Yves Chauvin,male,Belgium,Menin,French Institute of Petroleum,France,Rueil-Malmaison,1930/10/10,75
2005,economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis,Thomas C. Schelling,male,USA,Oakland CA,University of Maryland Department of Economics and School of Public Policy,USA,College Park MD,1921/4/14,84
2005,economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis,Robert J. Aumann,male,Germany,Frankfurt-on-the-Main,University of Jerusalem Center for RationalityHebrew,Israel,Jerusalem,1930/8/6,75
2005,chemistry,for the development of the metathesis method in organic synthesis,Richard R. Schrock,male,USA,Berne IN,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,1945/4/1,60
2005,chemistry,for the development of the metathesis method in organic synthesis,Robert H. Grubbs,male,USA,Possum Trot KY,California Institute of Technology (Caltech),USA,Pasadena CA,1942/2/27,63
